iter	MultiClass
0	2.553001169
1	2.287396132
2	2.120223974
3	1.983156843
4	1.870735394
5	1.762394894
6	1.681812193
7	1.613493573
8	1.542565175
9	1.483986356
10	1.427396494
11	1.382888836
12	1.338462311
13	1.296393941
14	1.256774529
15	1.223890536
16	1.1892655
17	1.154813001
18	1.121603022
19	1.090520209
20	1.06091435
21	1.034688666
22	1.010809901
23	0.987586414
24	0.9659291631
25	0.9488998174
26	0.9273086573
27	0.9050564473
28	0.8874266963
29	0.8685579743
30	0.8514185933
31	0.8363152321
32	0.8190750599
33	0.8057235238
34	0.7900142187
35	0.7761497751
36	0.7625394685
37	0.7485004178
38	0.7362764612
39	0.7218270964
40	0.7121941538
41	0.7031999138
42	0.6920175183
43	0.6817859377
44	0.6694494263
45	0.6602109335
46	0.6478395984
47	0.6374049211
48	0.6258492103
49	0.6146194678
50	0.6051688414
51	0.5982705705
52	0.5901829565
53	0.5807132729
54	0.572628589
55	0.5659335687
56	0.5573543802
57	0.5509327277
58	0.5447462203
59	0.5375972854
60	0.5301700729
61	0.5238079118
62	0.5173197375
63	0.5115337232
64	0.5051871973
65	0.4978831333
66	0.4920637671
67	0.4871336263
68	0.4821475336
69	0.4767531208
70	0.472459717
71	0.4679233743
72	0.4615448179
73	0.4572999519
74	0.4512158637
75	0.447815739
76	0.4436531088
77	0.4371112705
78	0.4321524122
79	0.4276613232
80	0.4269933467
81	0.4213593108
82	0.4172325215
83	0.4127157564
84	0.4095538514
85	0.4042025853
86	0.4015006567
87	0.3988909886
88	0.3973043397
89	0.3917525342
90	0.3877257145
91	0.383300155
92	0.3807632491
93	0.3754212126
94	0.3731174724
95	0.3717593011
96	0.3695947824
97	0.3662699238
98	0.3635682556
99	0.3618675049
100	0.3578276816
101	0.3543323663
102	0.3524582274
103	0.3503727903
104	0.3452538864
105	0.3413443096
106	0.3399107504
107	0.3395003956
108	0.3368197002
109	0.3344986363
110	0.3307700054
111	0.3288006761
112	0.3271306992
113	0.3268267277
114	0.3243247899
115	0.3235887281
116	0.3197096921
117	0.317235283
118	0.3157631283
119	0.3153236529
120	0.3138058436
121	0.3122065215
122	0.3086934538
123	0.3074322904
124	0.3057960197
125	0.3040313451
126	0.3007119218
127	0.2977950732
128	0.2960415297
129	0.2930396979
130	0.2909156138
131	0.2889179903
132	0.2878057946
133	0.284830448
134	0.2831318207
135	0.2811846695
136	0.2785583863
137	0.2779725989
138	0.2761374665
139	0.2738215853
140	0.2725076429
141	0.2706897499
142	0.2703639804
143	0.2681790324
144	0.2662412148
145	0.2646164557
146	0.2630184816
147	0.2609971016
148	0.2606924564
149	0.2587038406
150	0.257172982
151	0.256991756
152	0.2548168117
153	0.2525490636
154	0.2514955251
155	0.2504717777
156	0.2495484903
157	0.2474144003
158	0.2462241616
159	0.2445131401
160	0.2428618084
161	0.241404425
162	0.2387079021
163	0.237892177
164	0.2366003767
165	0.2351574163
166	0.2338105855
167	0.2324656213
168	0.2319940716
169	0.230676624
170	0.2287006349
171	0.2283091328
172	0.2274594075
173	0.2260857237
174	0.2249296938
175	0.2247061483
176	0.2245936201
177	0.2240176582
178	0.2222523288
179	0.2217607893
180	0.2202657853
181	0.2200929587
182	0.2197267407
183	0.2195282134
184	0.2193824748
185	0.2186250682
186	0.2173104437
187	0.2165174777
188	0.215668529
189	0.213934669
190	0.2130769009
191	0.2128912774
192	0.2115655335
193	0.2103259911
194	0.2098436332
195	0.2090238212
196	0.2079984021
197	0.2070264725
198	0.2049255773
199	0.2040441337
200	0.2039162124
201	0.2029583148
202	0.2022683185
203	0.2004459386
204	0.1993202381
205	0.1988387882
206	0.1985174731
207	0.1980380844
208	0.1969325809
209	0.1954671166
210	0.1945853839
211	0.1939172987
212	0.1922203382
213	0.1907022424
214	0.1905146037
215	0.1888338616
216	0.1877173931
217	0.1875996791
218	0.1874810815
219	0.1861741996
220	0.1847088727
221	0.1837690344
222	0.1836386853
223	0.1827712917
224	0.1815341545
225	0.1806155352
226	0.1798182855
227	0.1790660762
228	0.1784431991
229	0.1776417119
230	0.1764399419
231	0.1763016385
232	0.1758594853
233	0.1748911639
234	0.1735604377
235	0.1727298355
236	0.1715942041
237	0.1708823435
238	0.1702098198
239	0.1699663236
240	0.1689243213
241	0.1683180088
242	0.1675411371
243	0.1670885682
244	0.1659462172
245	0.165193285
246	0.1637579312
247	0.1636367699
248	0.1628140403
249	0.1625692307
250	0.1616727946
251	0.1604915054
252	0.1600012353
253	0.1598619157
254	0.1596394727
255	0.1583722494
256	0.1581885823
257	0.1576097552
258	0.1574644664
259	0.1573557709
260	0.1563709114
261	0.1556294712
262	0.1552080299
263	0.1550804791
264	0.1541098796
265	0.1536666798
266	0.153559121
267	0.1531095544
268	0.1526562201
269	0.152229845
270	0.1517102481
271	0.151442641
272	0.1502072347
273	0.1501214295
274	0.1492663235
275	0.1487445299
276	0.1484637348
277	0.1475592303
278	0.1472759376
279	0.1464303734
280	0.1461942756
281	0.1455097199
282	0.1444191708
283	0.144323047
284	0.143119883
285	0.1425060227
286	0.1414911182
287	0.1407826409
288	0.1402111838
289	0.1396822199
290	0.1390841982
291	0.1384266829
292	0.1377862873
293	0.1372590782
294	0.1366992441
295	0.1366247426
296	0.1360361974
297	0.1357445227
298	0.1350682197
299	0.1348304724
