iter	Passed	Remaining
0	933	279138
1	1577	235020
2	2235	221303
3	2761	204356
4	3043	179550
5	3339	163645
6	3630	151949
7	3954	144336
8	4261	137797
9	4641	134605
10	4972	130639
11	5265	126366
12	5591	123452
13	5882	120174
14	6177	117379
15	6449	114483
16	6747	112329
17	7051	110469
18	7358	108832
19	7668	107352
20	7977	105980
21	8288	104741
22	8594	103506
23	8907	102436
24	9183	101015
25	9506	100180
26	9808	99178
27	10106	98173
28	10397	97159
29	10679	96116
30	10981	95293
31	11281	94479
32	11564	93568
33	11884	92979
34	12174	92178
35	12462	91389
36	12760	90700
37	13041	89916
38	13352	89359
39	13640	88661
40	13939	88058
41	14234	87441
42	14542	86913
43	14857	86442
44	15152	85863
45	15458	85359
46	15762	84848
47	16039	84207
48	16359	83798
49	16659	83299
50	16943	82724
51	17246	82254
52	17564	81858
53	17865	81389
54	18156	80879
55	18453	80403
56	18758	79971
57	19046	79470
58	19329	78954
59	19629	78516
60	19915	78028
61	20214	77597
62	20487	77071
63	20754	76533
64	21020	75995
65	21302	75528
66	21605	75136
67	21920	74788
68	22206	74343
69	22481	73867
70	22763	73418
71	23043	72971
72	23347	72599
73	23612	72113
74	23894	71682
75	24188	71292
76	24468	70864
77	24734	70397
78	25021	69995
79	25306	69592
80	25600	69215
81	25880	68803
82	26174	68432
83	26436	67980
84	26724	67598
85	27009	67208
86	27302	66844
87	27585	66455
88	27890	66121
89	28177	65748
90	28474	65398
91	28742	64983
92	29004	64557
93	29296	64202
94	29567	63802
95	29853	63438
96	30118	63030
97	30397	62656
98	30728	62388
99	31013	62026
100	31295	61662
101	31575	61292
102	31850	60917
103	32111	60518
104	32390	60153
105	32657	59768
106	32922	59383
107	33197	59017
108	33483	58672
109	33773	58336
110	34066	58004
111	34340	57643
112	34620	57292
113	34900	56943
114	35184	56601
115	35460	56247
116	35748	55914
117	36037	55583
118	36311	55229
119	36571	54857
120	36852	54516
121	37135	54181
122	37407	53830
123	37690	53496
124	37979	53171
125	38267	52845
126	38539	52498
127	38828	52176
128	39086	51811
129	39370	51484
130	39665	51170
131	39949	50845
132	40235	50521
133	40514	50189
134	40784	49847
135	41043	49493
136	41314	49155
137	41584	48816
138	41864	48490
139	42149	48170
140	42429	47846
141	42701	47512
142	42992	47202
143	43279	46886
144	43573	46578
145	43870	46273
146	44139	45940
147	44400	45600
148	44674	45273
149	44937	44937
150	45232	44633
151	45513	44315
152	45794	43998
153	46056	43664
154	46315	43326
155	46597	43013
156	46877	42697
157	47150	42375
158	47420	42052
159	47717	41752
160	48001	41442
161	48262	41112
162	48547	40803
163	48813	40479
164	49082	40158
165	49358	39843
166	49680	39565
167	49949	39245
168	50233	38938
169	50491	38610
170	50780	38308
171	51069	38004
172	51358	37702
173	51650	37402
174	51925	37089
175	52193	36772
176	52482	36470
177	52763	36163
178	53043	35855
179	53321	35547
180	53590	35233
181	53853	34916
182	54132	34609
183	54413	34304
184	54693	33998
185	54969	33690
186	55258	33391
187	55546	33091
188	55821	32783
189	56105	32482
190	56375	32172
191	56663	31873
192	56934	31564
193	57215	31261
194	57508	30966
195	57771	30654
196	58046	30348
197	58328	30047
198	58606	29745
199	58892	29446
200	59166	29141
201	59429	28832
202	59708	28530
203	59987	28229
204	60267	27929
205	60534	27622
206	60824	27326
207	61099	27024
208	61382	26726
209	61642	26418
210	61914	26115
211	62177	25809
212	62465	25514
213	62741	25213
214	63024	24916
215	63296	24615
216	63563	24312
217	63833	24010
218	64108	23711
219	64391	23415
220	64666	23116
221	64944	22818
222	65210	22516
223	65503	22224
224	65766	21922
225	66053	21627
226	66345	21335
227	66637	21043
228	66907	20744
229	67184	20447
230	67489	20159
231	67760	19860
232	68041	19565
233	68309	19266
234	68617	18979
235	68922	18690
236	69213	18398
237	69514	18108
238	69812	17818
239	70121	17530
240	70398	17234
241	70678	16939
242	70964	16646
243	71260	16354
244	71549	16062
245	71828	15767
246	72129	15477
247	72419	15184
248	72712	14892
249	72989	14597
250	73284	14306
251	73560	14011
252	73868	13722
253	74164	13431
254	74456	13139
255	74732	12844
256	75006	12549
257	75276	12254
258	75558	11960
259	75834	11666
260	76127	11375
261	76403	11081
262	76689	10789
263	76969	10495
264	77239	10201
265	77527	9909
266	77801	9615
267	78084	9323
268	78364	9030
269	78633	8737
270	78922	8445
271	79185	8151
272	79453	7858
273	79719	7564
274	79994	7272
275	80261	6979
276	80550	6688
277	80814	6395
278	81070	6102
279	81370	5812
280	81650	5520
281	81957	5231
282	82242	4940
283	82513	4648
284	82782	4356
285	83067	4066
286	83335	3774
287	83631	3484
288	83906	3193
289	84174	2902
290	84450	2611
291	84738	2321
292	85027	2031
293	85321	1741
294	85606	1450
295	85890	1160
296	86169	870
297	86433	580
298	86716	290
299	87002	0
